#fea,rf,knn,mlp,sum,prod,wsum,wprod,vote
1,63.54,63.23,37.07,72.73,71.72,74.75,73.74,72.73
2,73.54,69.49,56.16,83.84,82.83,84.85,85.86,78.79
3,78.59,74.95,67.17,85.86,85.86,85.86,85.86,84.85
4,79.09,74.24,68.89,82.83,83.84,82.83,83.84,81.82
5,80.91,77.27,71.62,83.84,83.84,84.85,83.84,83.84
6,79.39,75.25,72.02,87.88,89.90,87.88,89.90,86.87
7,81.92,75.66,75.76,86.87,85.86,86.87,85.86,84.85
8,83.03,76.26,73.64,87.88,87.88,88.89,88.89,90.91
9,80.81,74.44,66.97,85.86,85.86,85.86,84.85,84.85
10,82.42,76.57,70.20,88.89,88.89,88.89,88.89,87.88
11,84.24,76.36,72.12,88.89,89.90,88.89,89.90,87.88
12,82.93,76.57,76.36,89.90,90.91,89.90,90.91,89.90
13,81.52,74.55,74.65,84.85,84.85,84.85,84.85,83.84
14,80.30,75.66,73.23,85.86,85.86,85.86,85.86,85.86
15,80.30,75.45,74.34,85.86,85.86,85.86,85.86,83.84
16,82.63,77.47,76.06,83.84,84.85,83.84,83.84,84.85
17,82.12,76.06,75.05,83.84,82.83,83.84,83.84,84.85
18,85.15,77.47,74.85,86.87,87.88,87.88,87.88,87.88
19,85.56,77.78,74.34,87.88,85.86,87.88,84.85,89.90
20,85.05,79.29,78.59,88.89,88.89,88.89,88.89,87.88
21,82.12,77.27,76.77,85.86,85.86,85.86,85.86,87.88
22,82.83,77.78,73.94,87.88,86.87,87.88,86.87,87.88
23,83.03,79.70,73.03,86.87,85.86,87.88,85.86,86.87
24,82.12,76.26,74.55,86.87,85.86,86.87,85.86,87.88
25,80.00,77.68,73.43,86.87,85.86,87.88,85.86,86.87
26,82.02,77.78,73.43,86.87,88.89,86.87,88.89,87.88
27,83.54,78.48,74.85,89.90,88.89,89.90,89.90,89.90
28,83.33,78.59,76.97,85.86,86.87,85.86,86.87,86.87
29,82.93,76.77,65.15,84.85,85.86,85.86,85.86,84.85
30,81.82,78.08,76.26,86.87,86.87,85.86,86.87,87.88
31,83.33,79.90,72.73,88.89,89.90,87.88,89.90,87.88
32,81.62,80.00,76.77,90.91,89.90,90.91,90.91,89.90
33,83.23,78.89,72.83,86.87,86.87,85.86,86.87,85.86
34,83.64,77.07,72.02,85.86,86.87,85.86,85.86,86.87
35,81.62,77.27,73.03,87.88,85.86,87.88,85.86,84.85
36,82.22,81.31,71.11,87.88,87.88,87.88,87.88,89.90
37,86.36,81.82,72.22,89.90,89.90,89.90,89.90,90.91
38,83.54,79.60,68.48,87.88,87.88,87.88,87.88,86.87
39,83.43,80.40,73.43,87.88,88.89,88.89,88.89,87.88
40,81.52,78.69,67.17,89.90,89.90,89.90,89.90,87.88
41,82.63,78.18,65.35,83.84,84.85,83.84,84.85,84.85
42,81.52,78.99,71.92,86.87,85.86,86.87,85.86,86.87
43,81.72,77.37,69.39,88.89,88.89,88.89,88.89,86.87
44,80.20,75.66,73.94,84.85,84.85,85.86,84.85,83.84
45,80.61,78.69,69.60,85.86,83.84,85.86,83.84,84.85
46,79.49,76.26,66.16,81.82,82.83,82.83,82.83,82.83
47,80.71,77.88,71.11,86.87,86.87,86.87,86.87,86.87
48,81.72,77.37,68.59,84.85,81.82,84.85,81.82,83.84
49,80.40,76.36,68.59,84.85,84.85,84.85,84.85,83.84
50,82.63,79.80,74.14,89.90,87.88,89.90,87.88,90.91
51,82.83,76.77,69.90,88.89,87.88,88.89,88.89,87.88
52,79.09,76.46,71.82,86.87,85.86,86.87,86.87,86.87
53,81.82,78.59,70.51,89.90,86.87,89.90,86.87,90.91
54,80.30,79.09,71.41,86.87,85.86,86.87,85.86,85.86
55,81.82,76.26,71.72,87.88,87.88,87.88,87.88,86.87
56,82.22,75.35,69.09,88.89,88.89,88.89,88.89,84.85
57,81.31,76.46,73.33,84.85,84.85,84.85,84.85,83.84
58,80.10,75.86,70.91,82.83,83.84,82.83,83.84,83.84
59,81.72,78.28,68.99,87.88,87.88,87.88,87.88,88.89
60,80.51,76.57,70.71,85.86,86.87,85.86,86.87,86.87
61,83.13,80.30,70.10,88.89,87.88,90.91,88.89,89.90
62,84.24,80.40,69.80,87.88,88.89,87.88,88.89,87.88
63,82.73,78.18,70.61,88.89,88.89,88.89,88.89,88.89
64,81.92,75.25,71.11,85.86,86.87,85.86,85.86,85.86
65,82.12,80.20,71.52,87.88,87.88,87.88,87.88,88.89
66,83.03,78.38,72.02,85.86,85.86,86.87,85.86,86.87
67,80.61,76.26,69.09,88.89,86.87,89.90,86.87,88.89
68,81.31,76.67,68.69,83.84,85.86,83.84,85.86,86.87
69,82.12,75.96,70.30,83.84,83.84,83.84,83.84,84.85
70,78.79,77.07,67.17,83.84,84.85,83.84,83.84,83.84
