1GSKA	25	4	31	34	16	32	20	31	24	42	7	23	45	14	28	27	33	31	9	0	26	0	102	4	234	111	51	0	0	44	0	21	0	0	0	0	49	25	5	2	26	0	49	0	54	0	0	10	0	0	29	10	0	0	7	27	9	105	1	4	0	23	1	199	43	260	2
1GT8A	90	34	50	63	42	80	13	69	68	86	22	36	62	37	39	69	59	63	11	0	24	0	186	34	480	240	77	0	6	79	0	41	0	0	0	10	131	43	6	18	31	0	70	0	115	6	0	15	0	2	40	11	0	0	18	45	23	227	4	20	0	53	2	155	373	489	4
1GTZA	19	4	7	8	3	14	9	10	1	13	1	9	6	6	7	8	4	15	1	0	4	0	30	4	68	39	8	0	1	17	0	0	0	0	0	1	14	10	0	3	5	0	21	0	18	1	0	0	0	0	4	2	0	0	2	12	3	25	0	2	0	7	0	23	70	56	3
1GU7A	23	2	17	19	13	34	5	24	27	33	4	28	19	16	5	25	31	22	6	0	11	0	80	2	169	83	30	0	0	36	0	22	0	0	0	0	42	18	3	1	11	0	31	0	37	1	0	7	0	0	11	8	0	0	8	15	8	84	1	1	0	18	0	83	135	146	3
1GUBA	41	1	19	16	9	25	0	17	27	21	8	16	10	10	6	14	13	28	3	0	4	0	61	1	136	74	16	0	0	32	0	8	0	0	0	0	33	19	1	0	7	0	29	0	33	0	0	3	0	0	6	4	0	0	5	18	4	65	0	1	0	18	1	61	134	93	3
1GUGA	6	0	2	6	0	7	0	6	7	7	1	2	0	1	1	6	4	11	0	0	0	0	11	0	31	25	0	0	0	6	0	2	0	0	0	0	13	9	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	0	0	3	0	14	0	0	0	6	0	35	10	22	2
1GUVA	33	4	22	15	20	31	4	8	23	35	7	16	14	23	14	22	26	19	9	0	16	0	76	4	167	69	45	0	1	26	0	17	0	0	0	3	27	13	2	1	22	0	34	0	34	0	0	12	0	1	25	5	0	0	12	20	9	81	0	2	0	13	0	87	138	136	3
1GV4A	40	3	24	33	19	48	9	32	30	37	8	18	27	16	29	34	22	45	7	0	9	0	91	3	239	122	35	0	0	49	0	13	0	0	0	0	65	25	7	3	13	0	41	0	59	1	0	8	0	1	9	11	0	0	7	21	7	118	0	1	0	30	0	139	135	216	3
1GVEA	27	7	12	22	17	27	10	10	16	34	10	11	16	16	17	16	19	19	5	0	13	0	61	7	148	73	35	0	0	25	0	9	0	0	0	2	34	11	5	3	13	0	30	0	35	1	0	9	0	0	20	8	0	0	2	18	8	64	2	6	0	18	0	41	161	122	3
1GVFA	30	5	15	18	11	16	10	17	13	22	6	11	11	7	14	18	13	27	1	0	8	0	51	5	125	72	20	0	0	22	0	9	0	0	0	3	38	12	2	0	9	0	20	0	37	0	0	3	0	0	13	2	0	0	3	17	5	52	1	5	0	18	1	39	146	88	3
1GVHA	43	2	20	29	21	32	13	16	21	34	10	18	21	20	15	15	21	27	6	0	12	0	87	2	181	87	39	0	0	46	0	15	0	0	0	1	44	18	5	0	17	0	36	0	37	0	0	10	0	1	15	7	0	0	11	16	7	83	1	1	0	24	0	76	187	133	1
1GVIA	47	8	48	36	38	36	22	24	31	54	13	20	35	16	35	17	29	34	15	0	30	0	120	8	252	125	83	0	0	63	0	16	0	0	0	2	56	27	12	4	35	0	58	0	52	3	0	19	0	1	34	18	0	0	18	22	15	99	1	4	0	27	1	137	167	284	2
1GVNB	13	0	12	25	8	14	5	17	23	25	7	16	15	16	11	15	24	17	0	0	10	0	69	0	120	66	18	0	0	25	0	14	0	0	0	0	20	17	0	0	7	0	37	0	32	0	0	8	0	0	7	7	0	0	4	22	3	55	0	0	0	14	0	28	163	81	3
1GVRA	46	1	18	26	10	34	9	23	12	30	3	15	20	15	25	23	17	21	3	0	13	0	74	1	186	77	26	0	1	38	0	16	0	0	0	1	39	15	2	0	16	0	36	0	41	0	0	2	0	0	13	4	0	0	7	17	6	94	0	0	0	15	0	66	134	164	3
1GW0A	35	7	47	15	21	46	20	26	9	39	8	42	46	18	25	27	41	52	16	0	19	0	122	7	249	125	56	0	2	53	0	23	0	0	0	1	53	28	7	4	28	0	54	0	56	1	0	9	0	1	25	8	0	0	15	34	12	111	2	3	0	28	0	204	62	293	2
1GXEA	8	2	13	11	2	9	1	8	10	6	0	4	12	4	7	3	11	16	2	0	1	0	32	2	61	30	5	0	1	16	0	7	0	0	0	1	13	6	0	0	2	0	19	0	20	0	0	2	0	0	0	4	0	0	1	6	1	25	1	1	0	3	0	47	3	80	2
